
Código Contable;Descripción;Total (suma de todas las monedas)
412250102;Contratos de retrocompra con Banco Central de Chile;-1.597.222
412250103;Obligaciones por préstamos de valores;0
412250200;Operaciones con bancos del exterior;-22.034.256.020
412250201;Contratos de retrocompra con otros bancos;-121.129.360
412250202;Contratos de retrocompra con Bancos Centrales del exterior;-21.913.126.660
412250203;Obligaciones por préstamos de valores;0
412250300;Operaciones con otras entidades en el país;-9.188.722.338
412250301;Contratos de retrocompra;-9.188.722.338
412250302;Obligaciones por préstamos de valores;0
412250400;Operaciones con otras entidades en el exterior;-311.442.150
412250401;Contratos de retrocompra;-311.442.150
412250402;Obligaciones por préstamos de valores;0
412280000;Obligaciones con bancos;-126.131.662.229
412280100;Bancos del país;-2.011.050.956
412280110;Financiamientos de comercio exterior;0
412280111;Financiamientos para exportaciones chilenas;0
412280112;Financiamientos para importaciones chilenas;0
412280113;Obligaciones por operaciones entre terceros países;0
412280120;Préstamos y otras obligaciones;-2.011.050.956
412280121;Préstamos interbancarios de liquidez;-179.513.888
412280122;Préstamos interbancarios comerciales;0
412280123;Sobregiros en cuentas corrientes;0
412280124;Depósitos a plazo no transferibles;-28.238.220
412280129;Otras obligaciones;-1.803.298.848
412280200;Bancos del exterior;-108.875.777.997
412280210;Financiamientos de comercio exterior;0
412280211;Financiamientos para exportaciones chilenas;0
412280212;Financiamientos para importaciones chilenas;0
412280213;Obligaciones por operaciones entre terceros países;0
412280220;Préstamos y otras obligaciones;-108.875.777.997
412280221;Préstamos interbancarios de liquidez;-65.248.941.487
412280222;Préstamos interbancarios comerciales;-41.535.484.813
412280223;Sobregiros en cuentas corrientes;0
412280224;Depósitos a plazo no transferibles;-2.091.351.697
412280229;Otras obligaciones;0
412280300;Banco Central de Chile;-15.244.833.276
412280301;Préstamos y otras obligaciones;-15.244.833.276
412280302;Líneas de crédito por reprogramación de deudas;0
412280400;Bancos Centrales del exterior;0
412280401;Préstamos y otras obligaciones;0
412280402;Líneas de crédito por reprogramación de deudas;0
412350000;Instrumentos financieros de deuda emitidos;-242.398.435.575
412350100;Letras de Créditos;-696.811.560
412350101;Letras de crédito para vivienda;-540.687.798
412350102;Letras de crédito para fines generales;-156.123.762
412350200;Bonos;-241.701.624.015
412350201;Bonos corrientes;-241.701.624.015
412350203;Bonos hipotecarios;0
412380000;Otras obligaciones financieras;-36.352.663.171
412380100;Obligaciones con el sector público;0
412380101;Financiamientos de CORFO;0
412380102;Obligaciones con otros organismos gubernamentales;0
412380200;Otras obligaciones en el país;-14.725.434.160
412380201;Adeudado a establecimientos afiliados por el uso de tarjetas de crédito;0
412380202;Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos tarjetas nominativas;0
412380203;Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos tarjetas innominadas;0
412380204;Adeudado a operadores por servicios de operación de tarjetas de crédito;0
412380205;Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos nominativas;0
412380206;Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos innominadas;0
412380207;"               Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos)";0
412380208;Obligaciones a favor de exportadores chilenos;0
412380290;Otros créditos obtenidos en el país;-14.725.434.160
412380300;Obligaciones con el exterior;-21.627.229.011
412380301;Adeudado a establecimientos afiliados por el uso de tarjetas;0
412380302;"               Adeudado a operadores por servicios de operación de tarjetas (débito, crédito, pago con provisión de fondos)";0
412380303;"               Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos)";0
412380304;Obligaciones a favor de exportadores extranjeros;0
412380305;Adeudado a organismos internacionales;0
412380306;Otros créditos obtenidos en el exterior;-21.627.229.011
412450000;OBLIGACIONES POR CONTRATOS DE ARRENDAMIENTO;-5.037.725.023
412500000;INSTRUMENTOS FINANCIEROS DE CAPITAL REGULATORIO EMITIDOS;-44.421.996.078
412500100;Bonos subordinados;-44.421.996.078
412800000;RESULTADO DE COBERTURAS CONTABLES DEL RIESGO DE TASAS DE INTERÉS;-30.302.756.234
412800100;Utilidad por contratos de derivados financieros para cobertura contable;47.638.656.219
412800200;Pérdida por contratos de derivados financieros para cobertura contable;-66.860.193.444
412800300;Resultados por ajuste de pasivos financieros cubiertos;-11.081.219.009
415000000;"INGRESOS POR REAJUSTES DE LA U.F., IVP, IPC";429.906.223.897
415100000;ACTIVOS FINANCIEROS A COSTO AMORTIZADO;522.286.367.161
415150000;Derechos por pactos de retroventa y prestamos de valores;0
415150100;Operaciones con bancos del país;0
415150101;Contratos de retroventa con otros bancos;0
415150102;Contratos de retroventa con Banco Central de Chile;0
415150103;Derechos por préstamos de valores;0
415150200;Operaciones con bancos del exterior;0
415150201;Contratos de retroventa con otros bancos;0
415150202;Contratos de retroventa con Bancos Centrales del exterior;0
415150203;Derechos por préstamos de valores;0
415150300;Operaciones con otras entidades en el país;0
415150301;Contratos de retroventa;0
415150302;Derechos por préstamos de valores;0
415150400;Operaciones con otras entidades en el exterior;0
415150401;Contratos de retroventa;0
415150402;Derechos por préstamos de valores;0
415200000;Instrumentos financieros de deuda;18.608.824.647
415200100;Del Estado y Banco Central de Chile;18.608.824.647
415200101;Instrumentos financieros de deuda del Banco Central de Chile;0
415200102;Bonos y pagarés de la Tesorería General de la República;18.608.824.647
415200109;Otros instrumentos financieros de deuda fiscales;0
415200200;Otros instrumentos financieros de deuda emitidos en el país;0
415200201;Instrumentos financieros de deuda de otros bancos del país;0
415200202;Bonos y efectos de comercio de empresas del país;0
415200209;Otros instrumentos financieros de deuda emitidos en el país;0
415200300;Instrumentos financieros de deuda emitidos en el exterior;0
415200301;Instrumentos financieros de deuda de Bancos Centrales en el exterior;0
415200302;Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior;0
415200303;Instrumentos financieros de deuda de otros bancos en el exterior;0
415200304;Bonos y efectos de comercio de empresas en el exterior;0
415200309;Otros instrumentos financieros de deuda emitidos en el exterior;0
415250000;Adeudado por bancos;0
415250100;Bancos del país;0
415250101;Préstamos interbancarios de liquidez;0
415250102;Préstamos interbancarios comerciales;0
415250103;Sobregiros en cuentas corrientes;0
415250104;Créditos comercio exterior exportaciones chilenas;0
415250105;Créditos comercio exterior importaciones chilenas;0
415250106;Créditos comercio exterior entre terceros países;0
415250107;Depósitos no transferibles en bancos del país;0
415250190;Otras acreencias con bancos del país;0
415250200;Bancos del exterior;0
415250201;Préstamos interbancarios de liquidez;0
415250202;Préstamos interbancarios comerciales;0
415250203;Sobregiros en cuentas corrientes;0
415250204;Créditos comercio exterior exportaciones chilenas;0
415250205;Créditos comercio exterior importaciones chilenas;0
415250206;Créditos comercio exterior entre terceros países;0
415250207;Depósitos en cuenta corriente en bancos del exterior por operaciones de derivados;0
415250208;Otros depósitos no transferibles en bancos del exterior;0
415250290;Otras acreencias con bancos del exterior;0
415250300;Banco Central de Chile;0
415250301;Depósitos en cuenta corriente del Banco Central de Chile por operaciones de derivados con COMDER;0
415250302;Otros depósitos en el Banco Central de Chile no disponibles;0
415250390;Otras acreencias con el Banco Central de Chile;0
415250400;Bancos Centrales del exterior;0
415250401;Depósitos en cuenta corriente de Bancos Centrales del exterior por operaciones de derivados;0
415250402;Otros depósitos en Bancos Centrales del exterior no disponibles;0
415250403;Otras acreencias con Bancos Centrales del exterior;0
415280000;Colocaciones comerciales;198.460.124.208
415280100;Préstamos comerciales;157.052.681.587
415280101;Préstamos en el país;110.896.076.806
415280102;Préstamos en el exterior;0
415280103;Créditos para infraestructura escolar Ley N° 20.845;0
415280104;Préstamos con letras de crédito para fines generales;117.738.920
415280105;Préstamos con mutuos hipotecarios endosables para fines generales;46.038.865.861
415280106;Préstamos con mutuos hipotecarios no endosables para fines generales;0
415280200;Créditos de comercio exterior;0
415280201;Acreditivos negociados a plazo de exportaciones chilenas;0
415280209;Otros créditos para exportaciones chilenas;0
415280221;Acreditivos negociados a plazo de importaciones chilenas;0
415280229;Otros créditos para importaciones chilenas;0
415280231;Acreditivos negociados a plazo de operaciones entre terceros países;0
415280239;Otros créditos para operaciones entre terceros países;0
415280300;Deudores en cuentas corrientes;0
415280400;Deudores por tarjetas de crédito;0
415280500;Operaciones de factoraje;0
415280501;Factoring con responsabilidad;0
415280502;Factoring sin responsabilidad;0
415280600;Operaciones de leasing financiero comercial;13.965.487.247
415280601;Leasing por bienes inmobiliarios;11.420.780.457
415280602;Leasing por bienes no inmobiliarios;2.544.706.790
415280700;Préstamos estudiantiles;27.469.010.630
415280701;Créditos para estudios superiores Ley N° 20.027;26.831.938.679
415280702;Créditos con garantía CORFO;637.071.951
415280709;Otros créditos para estudios superiores;0
415280900;Otros créditos y cuentas por cobrar;-27.055.256
415280901;Deudores por pago de obligaciones avaladas;0
415280902;Deudores por boletas de garantía pagadas;-27.055.256
415280990;Otras cuentas por cobrar;0
415350000;Colocaciones para vivienda;299.998.530.208
415350100;Préstamos con letras de crédito para vivienda;563.687.341
415350200;Préstamos con mutuos hipotecarios endosable;3.232.463.780
415350300;Préstamos con mutuos financiados con bonos hipotecarios;0
415350400;Otros créditos con mutuos para vivienda;295.248.219.456
415350401;Otros créditos con mutuos no endosables para vivienda;295.248.219.456
415350402;Otros créditos con mutuos para vivienda;0
415350500;Operaciones de leasing financiero para vivienda;0
415350900;Otros créditos y cuentas por cobrar;954.159.631
415350901;Créditos complementarios a los mutuos;953.269.312
415350902;Créditos de enlace;0
415350903;Créditos provenientes de la ANAP;0
