Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)
2600000;IMPUESTOS CORRIENTES;1.245;0;0;0;1.245
2650000;IMPUESTOS DIFERIDOS;123.512;0;0;0;123.512
2700000;PROVISIONES;58.427;0;0;0;58.427
2700100;Provisiones para beneficios y remuneraciones del personal;13.181;0;0;0;13.181
2700200;Provisión para dividendos mínimos;8.319;0;0;0;8.319
2700300;Provisiones por riesgo de créditos contingentes;12.886;0;0;0;12.886
2700400;Provisiones por contingencias;24.041;0;0;0;24.041
2700401;Provisiones por riesgo país;1.074;0;0;0;1.074
2700402;Provisiones especiales para créditos al exterior;0;0;0;0;0
2700411;Provisiones adicionales colocaciones comerciales;1.346;0;0;0;1.346
2700412;Provisiones adicionales colocaciones para vivienda;294;0;0;0;294
2700413;Provisiones adicionales colocaciones de consumo;1.392;0;0;0;1.392
2700421;Ajuste a provisión mínima adeudado por bancos;0;0;0;0;0
2700422;Ajuste a provisión mínima colocaciones comerciales;1;0;0;0;1
2700423;Ajuste a provisión mínima créditos contingentes;0;0;0;0;0
2700490;Otras provisiones por contingencias;19.934;0;0;0;19.934
2800000;OTROS PASIVOS;49.130;16.556;0;41.939;107.625
3000000;PATRIMONIO;789.942;104;0;899;790.945
3101000;CAPITAL;275.795;0;0;0;275.795
3102000;RESERVAS;494.005;0;0;0;494.005
3103000;CUENTAS DE VALORACIÓN;259;104;0;899;1.262
3104000;UTILIDADES RETENIDAS;19.411;0;0;0;19.411
3104100;Utilidades retenidas de ejercicios anteriores;0;0;0;0;0
3104200;Utilidad (pérdida) del ejercicio;27.730;0;0;0;27.730
3104300;Provisión para dividendos mínimos;-8.319;0;0;0;-8.319
3200000;INTERES NO CONTROLADOR;472;0;0;0;472
5001000;PATRIMONIO DE LOS PROPIETARIOS;789.470;104;0;899;790.473
5002000;TOTAL PASIVO Y PATRIMONIO;8.634.986;3.398.481;200;1.370.704;13.404.371
5100000;TOTAL COLOCACIONES;2.967.946;4.591.260;40.944;1.352.998;8.953.148
