
Código Contable;Descripción;Total (suma de todas las monedas)
411740103;Colocaciones para vivienda;0
411740104;Colocaciones de consumo;0
411740200;Otros;0
411800000;RESULTADO DE COBERTURAS CONTABLES DEL RIESGO DE TASAS DE INTERÉS;2.920.113.304
411800100;Utilidad por contratos de derivados financieros para cobertura contable;11.442.292.164
411800200;Pérdida por contratos de derivados financieros para cobertura contable;-15.427.705.121
411800300;Resultados por ajuste de activos financieros cubiertos;6.905.526.261
412000000;GASTOS POR INTERESES;-170.136.288.962
412100000;PASIVOS FINANCIEROS A COSTO AMORTIZADO;-164.180.700.764
412150000;Depósitos y otras obligaciones a la vista;-11.040.175.681
412150100;Cuentas corrientes;-85.237.600
412150101;Cuentas corrientes de bancos del país;0
412150102;Cuentas corrientes de bancos del exterior;0
412150103;Cuentas corrientes de otras personas jurídicas;-85.237.600
412150104;Cuentas corrientes de personas naturales;0
412150200;Cuentas de depósito a la vista;-10.954.938.081
412150201;Cuentas de ahorro a la vista;0
412150202;Cuentas a la vista;-10.954.938.081
412150300;Otros depósitos a la vista;0
412150500;Otras obligaciones a la vista;0
412180000;Depósitos y otras captaciones a plazo;-83.644.824.703
412180100;Depósitos a plazo;-80.114.444.574
412180200;Cuentas de ahorro a plazo;0
412180201;Cuentas de ahorro a plazo con giro diferido;0
412180202;Cuentas de ahorro a plazo con giro incondicional;0
412180300;Otros saldos acreedores a plazo;-3.530.380.129
412180301;Boletas de garantías pagaderas con 30 días de aviso;0
412180302;Depósitos en cuentas ¿overnight¿;0
412180390;Otros;-3.530.380.129
412250000;Obligaciones por pactos de retrocompra y préstamos de valores;-22.051.457.850
412250100;Operaciones con bancos del país;-2.690.813.590
412250101;Contratos de retrocompra con otros bancos;-58.275.353
412250102;Contratos de retrocompra con Banco Central de Chile;-2.632.538.237
412250103;Obligaciones por préstamos de valores;0
412250200;Operaciones con bancos del exterior;-12.206.094.262
412250201;Contratos de retrocompra con otros bancos;-12.206.094.262
412250202;Contratos de retrocompra con Bancos Centrales del exterior;0
412250203;Obligaciones por préstamos de valores;0
412250300;Operaciones con otras entidades en el país;-7.154.549.998
412250301;Contratos de retrocompra;-7.154.549.998
412250302;Obligaciones por préstamos de valores;0
412250400;Operaciones con otras entidades en el exterior;0
412250401;Contratos de retrocompra;0
412250402;Obligaciones por préstamos de valores;0
412280000;Obligaciones con bancos;-17.079.663.043
412280100;Bancos del país;-5.957.982.632
412280110;Financiamientos de comercio exterior;-1.532.584.687
412280111;Financiamientos para exportaciones chilenas;-1.532.584.687
412280112;Financiamientos para importaciones chilenas;0
412280113;Obligaciones por operaciones entre terceros países;0
412280120;Préstamos y otras obligaciones;-4.425.397.945
412280121;Préstamos interbancarios de liquidez;-1.536.772.200
412280122;Préstamos interbancarios comerciales;-2.865.708.365
412280123;Sobregiros en cuentas corrientes;0
412280124;Depósitos a plazo no transferibles;0
412280129;Otras obligaciones;-22.917.380
412280200;Bancos del exterior;-11.121.680.411
412280210;Financiamientos de comercio exterior;0
412280211;Financiamientos para exportaciones chilenas;0
412280212;Financiamientos para importaciones chilenas;0
412280213;Obligaciones por operaciones entre terceros países;0
412280220;Préstamos y otras obligaciones;-11.121.680.411
