Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)
2250000;CONTRATOS DE DERIVADOS FINANCIEROS;47.989;0;0;3.201;51.190
2250100;Contratos de negociación;47.989;0;0;3.201;51.190
2250200;Contratos para cobertura contable;0;0;0;0;0
2300000;OBLIGACIONES CON BANCOS;0;0;0;73.201;73.201
2301000;BANCOS DEL PAÍS;0;0;0;0;0
2301001;Préstamos interbancarios;0;0;0;0;0
2302000;BANCOS DEL EXTERIOR;0;0;0;73.201;73.201
2302100;Financiamientos de comercio exterior;0;0;0;67.253;67.253
2302200;Préstamos y otras obligaciones;0;0;0;5.948;5.948
2303000;BANCO CENTRAL DE CHILE;0;0;0;0;0
2303100;Préstamos y otras obligaciones;0;0;0;0;0
2303900;Líneas de crédito reprogramación de deudas;0;0;0;0;0
2400000;INSTRUMENTOS DE DEUDA EMITIDOS;56.571;925.876;0;73.047;1.055.494
2401000;LETRAS DE CREDITO;0;4.808;0;0;4.808
2402000;BONOS;56.571;921.068;0;73.047;1.050.686
2402100;Bonos corrientes;56.571;744.313;0;73.047;873.931
2402200;Bonos subordinados;0;176.755;0;0;176.755
2402300;Bonos hipotecarios;0;0;0;0;0
2500000;OTRAS OBLIGACIONES FINANCIERAS;2.749;9.940;56.835;103.779;173.303
2500100;Obligaciones con el sector público;0;9.940;56.835;0;66.775
2500200;Otras obligaciones en el país;2.749;0;0;7.730;10.479
2500300;Obligaciones con el exterior;0;0;0;96.049;96.049
2600000;IMPUESTOS CORRIENTES;866;0;0;0;866
2650000;IMPUESTOS DIFERIDOS;5.053;0;0;0;5.053
2700000;PROVISIONES;68.629;0;0;0;68.629
2700100;Provisiones para beneficios y remuneraciones del personal;3.752;0;0;0;3.752
2700200;Provisión para dividendos mínimos;25.366;0;0;0;25.366
2700300;Provisiones por riesgo de créditos contingentes;9.054;0;0;0;9.054
2700400;Provisiones por contingencias;30.457;0;0;0;30.457
2700401;Provisiones por riesgo país;37;0;0;0;37
2700402;Provisiones especiales para créditos al exterior;0;0;0;0;0
2700411;Provisiones adicionales colocaciones comerciales;25.097;0;0;0;25.097
2700412;Provisiones adicionales colocaciones para vivienda;4.485;0;0;0;4.485
2700413;Provisiones adicionales colocaciones de consumo;838;0;0;0;838
2700421;Ajuste a provisión mínima adeudado por bancos;0;0;0;0;0
2700422;Ajuste a provisión mínima colocaciones comerciales;0;0;0;0;0
2700423;Ajuste a provisión mínima créditos contingentes;0;0;0;0;0
2700490;Otras provisiones por contingencias;0;0;0;0;0
2800000;OTROS PASIVOS;39.507;10;4.540;7.974;52.031
3000000;PATRIMONIO;467.914;0;0;0;467.914
3101000;CAPITAL;32.142;0;0;0;32.142
3102000;RESERVAS;6.041;0;0;0;6.041
3103000;CUENTAS DE VALORACIÓN;446;0;0;0;446
3104000;UTILIDADES RETENIDAS;429.254;0;0;0;429.254
3104100;Utilidades retenidas de ejercicios anteriores;437.748;0;0;0;437.748
3104200;Utilidad (pérdida) del ejercicio;16.868;0;0;0;16.868
3104300;Provisión para dividendos mínimos;-25.362;0;0;0;-25.362
3200000;INTERES NO CONTROLADOR;31;0;0;0;31
5001000;PATRIMONIO DE LOS PROPIETARIOS;467.883;0;0;0;467.883
5002000;TOTAL PASIVO Y PATRIMONIO;3.575.275;1.664.814;61.375;790.793;6.092.257
5100000;TOTAL COLOCACIONES;1.523.264;2.161.315;83.264;690.787;4.458.630
