
Código Contable;Descripción;Total (suma de todas las monedas)
412150102;Cuentas corrientes de bancos del exterior;-877.134.092
412150103;Cuentas corrientes de otras personas jurídicas;-11.830.562.269
412150104;Cuentas corrientes de personas naturales;-238.877
412150200;Cuentas de depósito a la vista;-35.772.560.161
412150201;Cuentas de ahorro a la vista;0
412150202;Cuentas a la vista;-35.772.560.161
412150300;Otros depósitos a la vista;0
412150500;Otras obligaciones a la vista;-1.318.774.949
412180000;Depósitos y otras captaciones a plazo;-386.916.529.732
412180100;Depósitos a plazo;-386.910.274.237
412180200;Cuentas de ahorro a plazo;0
412180201;Cuentas de ahorro a plazo con giro diferido;0
412180202;Cuentas de ahorro a plazo con giro incondicional;0
412180300;Otros saldos acreedores a plazo;-6.255.495
412180301;Boletas de garantías pagaderas con 30 días de aviso;0
412180302;Depósitos en cuentas ¿overnight¿;0
412180390;Otros;-6.255.495
412250000;Obligaciones por pactos de retrocompra y préstamos de valores;-30.334.412.706
412250100;Operaciones con bancos del país;-1.496.814.980
412250101;Contratos de retrocompra con otros bancos;-3.801.550
412250102;Contratos de retrocompra con Banco Central de Chile;-1.493.013.430
412250103;Obligaciones por préstamos de valores;0
412250200;Operaciones con bancos del exterior;-22.047.412.676
412250201;Contratos de retrocompra con otros bancos;-18.389.252
412250202;Contratos de retrocompra con Bancos Centrales del exterior;-22.029.023.424
412250203;Obligaciones por préstamos de valores;0
412250300;Operaciones con otras entidades en el país;-5.655.424.855
412250301;Contratos de retrocompra;-5.655.424.855
412250302;Obligaciones por préstamos de valores;0
412250400;Operaciones con otras entidades en el exterior;-1.134.760.195
412250401;Contratos de retrocompra;-1.134.760.195
412250402;Obligaciones por préstamos de valores;0
412280000;Obligaciones con bancos;-49.987.751.249
412280100;Bancos del país;-3.898.783.033
412280110;Financiamientos de comercio exterior;0
412280111;Financiamientos para exportaciones chilenas;0
412280112;Financiamientos para importaciones chilenas;0
412280113;Obligaciones por operaciones entre terceros países;0
412280120;Préstamos y otras obligaciones;-3.898.783.033
412280121;Préstamos interbancarios de liquidez;-2.194.444.354
412280122;Préstamos interbancarios comerciales;0
412280123;Sobregiros en cuentas corrientes;0
412280124;Depósitos a plazo no transferibles;0
412280129;Otras obligaciones;-1.704.338.679
412280200;Bancos del exterior;-46.088.968.216
412280210;Financiamientos de comercio exterior;0
412280211;Financiamientos para exportaciones chilenas;0
412280212;Financiamientos para importaciones chilenas;0
412280213;Obligaciones por operaciones entre terceros países;0
412280220;Préstamos y otras obligaciones;-46.088.968.216
412280221;Préstamos interbancarios de liquidez;-25.087.003.177
412280222;Préstamos interbancarios comerciales;-19.427.757.530
412280223;Sobregiros en cuentas corrientes;0
412280224;Depósitos a plazo no transferibles;-1.567.854.584
412280229;Otras obligaciones;-6.352.925
412280300;Banco Central de Chile;0
412280301;Préstamos y otras obligaciones;0
412280302;Líneas de crédito por reprogramación de deudas;0
412280400;Bancos Centrales del exterior;0
412280401;Préstamos y otras obligaciones;0
412280402;Líneas de crédito por reprogramación de deudas;0
412350000;Instrumentos financieros de deuda emitidos;-108.281.258.303
412350100;Letras de Créditos;-171.288.182
412350101;Letras de crédito para vivienda;-135.804.552
412350102;Letras de crédito para fines generales;-35.483.630
412350200;Bonos;-108.109.970.121
412350201;Bonos corrientes;-108.109.970.121
412350203;Bonos hipotecarios;0
412380000;Otras obligaciones financieras;-28.087.324.747
412380100;Obligaciones con el sector público;0
412380101;Financiamientos de CORFO;0
412380102;Obligaciones con otros organismos gubernamentales;0
412380200;Otras obligaciones en el país;-3.435.366.035
412380201;Adeudado a establecimientos afiliados por el uso de tarjetas de crédito;0
412380202;Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos tarjetas nominativas;0
412380203;Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos tarjetas innominadas;0
412380204;Adeudado a operadores por servicios de operación de tarjetas de crédito;0
412380205;Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos nominativas;0
412380206;Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos innominadas;0
412380207;Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos);0
412380208;Obligaciones a favor de exportadores chilenos;0
412380290;Otros créditos obtenidos en el país;-3.435.366.035
412380300;Obligaciones con el exterior;-24.651.958.712
412380301;Adeudado a establecimientos afiliados por el uso de tarjetas;0
412380302;Adeudado a operadores por servicios de operación de tarjetas (débito, crédito, pago con provisión de fondos);0
412380303;Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos);0
412380304;Obligaciones a favor de exportadores extranjeros;0
412380305;Adeudado a organismos internacionales;0
412380306;Otros créditos obtenidos en el exterior;-24.651.958.712
412450000;OBLIGACIONES POR CONTRATOS DE ARRENDAMIENTO;-3.155.591.469
412500000;INSTRUMENTOS FINANCIEROS DE CAPITAL REGULATORIO EMITIDOS;-23.263.999.717
412500100;Bonos subordinados;-23.263.999.717
412800000;RESULTADO DE COBERTURAS CONTABLES DEL RIESGO DE TASAS DE INTERÉS;6.498.667.599
412800100;Utilidad por contratos de derivados financieros para cobertura contable;10.511.714.106
412800200;Pérdida por contratos de derivados financieros para cobertura contable;-4.760.256.467
412800300;Resultados por ajuste de pasivos financieros cubiertos;747.209.960
415000000;INGRESOS POR REAJUSTES DE LA U.F., IVP, IPC;189.410.083.632
415100000;ACTIVOS FINANCIEROS A COSTO AMORTIZADO;266.469.164.524
415150000;Derechos por pactos de retroventa y prestamos de valores;0
415150100;Operaciones con bancos del país;0
415150101;Contratos de retroventa con otros bancos;0
415150102;Contratos de retroventa con Banco Central de Chile;0
415150103;Derechos por préstamos de valores;0
415150200;Operaciones con bancos del exterior;0
415150201;Contratos de retroventa con otros bancos;0
